benchmark_dir            ,name                                                                          ,length ,PEG2PEGTIME ,PBTIME ,ENGINETIME ,Optimization took ,nodes: ,values:
uninlined-spec/scimark/  ,"LU: int[] getPivot()"                                                        ,1      ,193         ,164    ,1          ,199               ,14     ,14
uninlined-spec/scimark/  ,"LU: void main(int)"                                                          ,2      ,173         ,141    ,3          ,185               ,18     ,18
uninlined-spec/scimark/  ,"LU: void insert_copy(double[][],double[][])"                                 ,15     ,12747       ,12486  ,243        ,12826             ,840    ,1875
uninlined-spec/scimark/  ,"LU: void solve(double[][],int[],double[])"                                   ,3      ,-1          ,-1     ,-1         ,-1                ,995    ,1621
uninlined-spec/scimark/  ,"LU: double[] new_copy(double[])"                                             ,5      ,2382        ,1839   ,516        ,2424              ,1358   ,987
uninlined-spec/scimark/  ,"LU: double num_flops(int)"                                                   ,2      ,184         ,139    ,13         ,195               ,16     ,13
uninlined-spec/scimark/  ,"LU: int[] new_copy(int[])"                                                   ,5      ,2059        ,1838   ,207        ,2082              ,1358   ,986
uninlined-spec/scimark/  ,"LU: int factor(double[][],int[])"                                            ,37     ,-1          ,-1     ,-1         ,-1                ,809    ,2104
uninlined-spec/scimark/  ,"LU: double[][] getLU()"                                                      ,1      ,173         ,160    ,0          ,179               ,14     ,14
uninlined-spec/scimark/  ,"LU: double[][] new_copy(double[][])"                                         ,5      ,2350        ,1968   ,365        ,2407              ,1124   ,1412
uninlined-spec/scimark/  ,"LU: void <init>(int)"                                                        ,-1     ,238         ,160    ,6          ,322               ,14     ,14
uninlined-spec/scimark/  ,"LU: double[] solve(double[])"                                                ,3      ,195         ,167    ,1          ,203               ,23     ,23
uninlined-spec/scimark/  ,"Random: void <init>(int)"                                                    ,-1     ,183         ,151    ,8          ,201               ,45     ,45
uninlined-spec/scimark/  ,"Random: void <init>(int,double,double)"                                      ,-1     ,191         ,157    ,10         ,219               ,57     ,57
uninlined-spec/scimark/  ,"Random: void <init>()"                                                       ,-1     ,268         ,181    ,15         ,357               ,50     ,50
uninlined-spec/scimark/  ,"Random: void <init>(double,double)"                                          ,-1     ,212         ,166    ,14         ,240               ,62     ,62
uninlined-spec/scimark/  ,"Random: void nextDoubles(double[])"                                          ,89     ,2378        ,1898   ,443        ,2957              ,790    ,981
uninlined-spec/scimark/  ,"Random: double nextDouble()"                                                 ,18     ,232         ,174    ,31         ,318               ,104    ,97
uninlined-spec/scimark/  ,"SparseCompRow: double num_flops(int,int,int)"                                ,2      ,172         ,139    ,12         ,186               ,18     ,15
uninlined-spec/scimark/  ,"SparseCompRow: void run()"                                                   ,7      ,171         ,156    ,1          ,178               ,28     ,28
uninlined-spec/scimark/  ,"SparseCompRow: void main(int)"                                               ,2      ,170         ,138    ,3          ,178               ,18     ,18
uninlined-spec/scimark/  ,"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)" ,17     ,17501       ,16920  ,551        ,17676             ,925    ,1282
uninlined-spec/scimark/  ,"SparseCompRow: double measureSparseMatmult(int,int,double,Random)"           ,24     ,195457      ,195025 ,415        ,195515            ,1664   ,1757
uninlined-spec/scimark/  ,"SparseCompRow: void <init>(int)"                                             ,-1     ,231         ,156    ,5          ,289               ,14     ,14
uninlined-spec/scimark/  ,"SOR: double num_flops(int,int,int)"                                          ,4      ,3265        ,2960   ,277        ,3280              ,315    ,87
uninlined-spec/scimark/  ,"SOR: void main(int)"                                                         ,2      ,172         ,140    ,4          ,184               ,18     ,18
uninlined-spec/scimark/  ,"SOR: double execute(double,double[][],int)"                                  ,21     ,-1          ,-1     ,-1         ,-1                ,1463   ,2145
uninlined-spec/scimark/  ,"SOR: void <init>(int)"                                                       ,-1     ,241         ,160    ,5          ,326               ,14     ,14
uninlined-spec/scimark/  ,"MonteCarlo: void <init>()"                                                   ,-1     ,225         ,152    ,4          ,307               ,10     ,10
uninlined-spec/scimark/  ,"MonteCarlo: void main()"                                                     ,2      ,167         ,137    ,3          ,173               ,16     ,16
uninlined-spec/scimark/  ,"MonteCarlo: double measureMonteCarlo(double,Random)"                         ,9      ,173         ,155    ,2          ,195               ,45     ,44
uninlined-spec/scimark/  ,"MonteCarlo: double integrate(int)"                                           ,10     ,2753        ,2144   ,583        ,2830              ,740    ,1024
uninlined-spec/scimark/  ,"MonteCarlo: double num_flops(int)"                                           ,1      ,158         ,129    ,8          ,167               ,10     ,9
uninlined-spec/scimark/  ,"MonteCarlo: void run()"                                                      ,4      ,172         ,142    ,2          ,182               ,20     ,20
