name                                                               ,length ,PEG2PEGTIME ,PBTIME ,ENGINETIME ,Optimization took ,nodes: ,values:
"FFT: double test(double[])"                                       ,    11 ,10966       ,10565  ,375        ,11009             ,   709 ,    537
"FFT: long inst_main(java.lang.String[])"                          ,     2 ,399         ,367    ,2          ,405               ,    10 ,     10
"FFT: void bitreverse(double[])"                                   ,    22 ,-1          ,-1     ,-1         ,-1                ,   638 ,    690
"FFT: double num_flops(int)"                                       ,     3 ,814         ,660    ,84         ,836               ,    53 ,     31
"FFT: void inverse(double[])"                                      ,     6 ,9839        ,8843   ,975        ,9885              ,   567 ,    409
"FFT: double[] makeRandom(int)"                                    ,     5 ,8349        ,8114   ,205        ,8363              ,   515 ,    355
"FFT: void main(int)"                                              ,     2 ,731         ,714    ,2          ,737               ,    18 ,     18
"Stopwatch: double seconds()"                                      ,     1 ,679         ,462    ,22         ,842               ,    14 ,     13
"Stopwatch: double read()"                                         ,     5 ,818         ,794    ,8          ,838               ,    40 ,     38
"Stopwatch: void reset()"                                          ,     3 ,447         ,407    ,3          ,461               ,    17 ,     17
"Stopwatch: void resume()"                                         ,     4 ,625         ,601    ,4          ,639               ,    24 ,     24
"Stopwatch: double stop()"                                         ,     5 ,613         ,574    ,17         ,626               ,    37 ,     35
"Stopwatch: void start()"                                          ,     5 ,498         ,466    ,4          ,539               ,    28 ,     28
"SOR: double execute(double,double[][],int)"                       ,    21 ,-1          ,-1     ,-1         ,-1                ,   775 ,   1007
"SOR: double num_flops(int,int,int)"                               ,     4 ,9249        ,8755   ,459        ,9270              ,   315 ,     87
"SOR: void main(int)"                                              ,     2 ,439         ,404    ,3          ,455               ,    18 ,     18
"MonteCarlo: void run()"                                           ,     4 ,337         ,320    ,1          ,343               ,    20 ,     20
"MonteCarlo: void main()"                                          ,     2 ,427         ,399    ,3          ,441               ,    16 ,     16
"MonteCarlo: double integrate(int)"                                ,    10 ,7491        ,6765   ,684        ,7574              ,   419 ,    444
"MonteCarlo: double num_flops(int)"                                ,     1 ,411         ,364    ,16         ,422               ,    10 ,      9
"MonteCarlo: double measureMonteCarlo(double,Random)"              ,     9 ,630         ,596    ,6          ,654               ,    45 ,     44
"SparseCompRow: double num_flops(int,int,int)"                     ,     2 ,468         ,405    ,28         ,482               ,    18 ,     15
"SparseCompRow: void run()"                                        ,     7 ,540         ,515    ,5          ,553               ,    28 ,     28
"SparseCompRow: void main(int)"                                    ,     2 ,448         ,416    ,3          ,468               ,    18 ,     18
"kernel: void checkResults(java.lang.String,java.lang.String,int)" ,     8 ,703         ,661    ,5          ,755               ,    61 ,     61
"kernel: void CopyMatrix(double[][],double[][])"                   ,    15 ,9258        ,9098   ,141        ,9317              ,   501 ,    910
"kernel: double[][] RandomizeMatrix(double[][],Random)"            ,     4 ,4997        ,4822   ,148        ,5046              ,   277 ,    594
"kernel: double[][] RandomMatrix(int,int,Random)"                  ,     5 ,6769        ,6616   ,138        ,6793              ,   416 ,    615
"kernel: void CopyVector(double[],double[])"                       ,     3 ,10177       ,9687   ,440        ,10198             ,   607 ,    446
"kernel: void init()"                                              ,    44 ,1200        ,1156   ,10         ,1305              ,   139 ,    139
"kernel: double[] NewVectorCopy(double[])"                         ,     5 ,16862       ,16326  ,478        ,16943             ,   605 ,    445
"kernel: double[] matvec(double[][],double[])"                     ,     4 ,620         ,603    ,2          ,631               ,    17 ,     17
"kernel: double[] RandomVector(int,Random)"                        ,     4 ,8283        ,7985   ,274        ,8302              ,   492 ,    339
"kernel: void matvec(double[][],double[],double[])"                ,     4 ,9301        ,9123   ,161        ,9344              ,   499 ,    685
"kernel: double[] RandomizeVector(double[],Random)"                ,     3 ,6396        ,6260   ,116        ,6410              ,   394 ,    298
"kernel: double normabs(double[],double[])"                        ,     5 ,4761        ,4486   ,235        ,4807              ,   335 ,    439
"FFT: double test(double[])"                                       ,    11 ,11940       ,11568  ,340        ,11995             ,   709 ,    539
"FFT: long inst_main(java.lang.String[])"                          ,     2 ,393         ,361    ,2          ,399               ,    10 ,     10
"FFT: double num_flops(int)"                                       ,     3 ,807         ,676    ,68         ,836               ,    53 ,     31
"FFT: void inverse(double[])"                                      ,     6 ,12329       ,11620  ,689        ,12374             ,   574 ,    415
"FFT: double[] makeRandom(int)"                                    ,     5 ,8243        ,8020   ,198        ,8260              ,   511 ,    353
"FFT: void main(int)"                                              ,     2 ,445         ,428    ,2          ,449               ,    18 ,     18
"Stopwatch: double seconds()"                                      ,     1 ,698         ,471    ,23         ,861               ,    14 ,     13
"Stopwatch: double read()"                                         ,     5 ,669         ,640    ,8          ,694               ,    40 ,     38
"Stopwatch: void reset()"                                          ,     3 ,442         ,402    ,4          ,453               ,    17 ,     17
"Stopwatch: void resume()"                                         ,     4 ,481         ,451    ,4          ,492               ,    24 ,     24
"Stopwatch: double stop()"                                         ,     5 ,576         ,544    ,13         ,592               ,    37 ,     35
"Stopwatch: void start()"                                          ,     5 ,499         ,470    ,4          ,543               ,    28 ,     28
"SOR: double execute(double,double[][],int)"                       ,    21 ,-1          ,-1     ,-1         ,-1                ,   776 ,   1004
"SOR: double num_flops(int,int,int)"                               ,     4 ,7905        ,7290   ,578        ,7926              ,   315 ,     87
"SOR: void main(int)"                                              ,     2 ,482         ,453    ,4          ,503               ,    18 ,     18
"MonteCarlo: void run()"                                           ,     4 ,340         ,318    ,3          ,346               ,    20 ,     20
"MonteCarlo: void main()"                                          ,     2 ,455         ,414    ,2          ,466               ,    16 ,     16
"MonteCarlo: double integrate(int)"                                ,    10 ,7713        ,7060   ,622        ,7785              ,   419 ,    444
"MonteCarlo: double num_flops(int)"                                ,     1 ,410         ,362    ,18         ,419               ,    10 ,      9
"MonteCarlo: double measureMonteCarlo(double,Random)"              ,     9 ,676         ,630    ,13         ,694               ,    45 ,     44
"SparseCompRow: double num_flops(int,int,int)"                     ,     2 ,472         ,412    ,24         ,486               ,    18 ,     15
"SparseCompRow: void run()"                                        ,     7 ,506         ,485    ,5          ,516               ,    28 ,     28
"SparseCompRow: void main(int)"                                    ,     2 ,458         ,428    ,3          ,479               ,    18 ,     18
"kernel: void checkResults(java.lang.String,java.lang.String,int)" ,     8 ,763         ,679    ,51         ,803               ,    61 ,     61
"kernel: void CopyMatrix(double[][],double[][])"                   ,    15 ,11726       ,11552  ,154        ,11798             ,   508 ,    892
"kernel: double[][] RandomizeMatrix(double[][],Random)"            ,     4 ,4622        ,4447   ,154        ,4666              ,   280 ,    606
"kernel: double[][] RandomMatrix(int,int,Random)"                  ,     5 ,5494        ,5333   ,146        ,5516              ,   364 ,    604
