name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"FFT: void inverse(double[])",6,-1,-1,-1,-1,1322,945
"FFT: double num_flops(int)",3,739,628,62,764,53,31
"FFT: void <init>(int)",-1,639,431,9,771,14,14
"FFT: long inst_main(java.lang.String[])",2,277,253,1,283,10,10
"FFT: void transform(double[])",-1,276,259,2,279,12,12
"Stopwatch: double seconds()",1,1161,665,31,1484,14,13
"Stopwatch: double read()",5,589,565,7,603,40,38
"Stopwatch: void reset()",3,786,698,6,809,17,17
"Stopwatch: void resume()",4,547,497,9,566,24,24
"Stopwatch: double stop()",5,557,527,13,571,37,35
"Stopwatch: void start()",5,1033,961,10,1127,28,28
"Stopwatch: void <init>()",-1,664,614,3,681,13,13
"SOR: void <init>(int)",-1,680,473,9,837,14,14
"SOR: double execute(double,double[][],int)",21,-1,-1,-1,-1,1362,2138
"SOR: void main(int)",2,330,302,4,348,18,18
"SOR: double num_flops(int,int,int)",4,11303,10917,354,11326,315,87
"Random: void <init>(double,double)",-1,634,583,12,653,62,62
"Random: void nextDoubles(double[])",89,-1,-1,-1,-1,803,980
"Random: double nextDouble()",18,1560,1427,84,1679,104,97
"Random: void <init>(int,double,double)",-1,827,803,8,864,57,57
"Random: void <init>(int)",-1,585,559,6,594,45,45
"Random: void <init>()",-1,828,641,14,976,50,50
"MonteCarlo: double measureMonteCarlo(double,Random)",9,591,563,7,604,45,44
"MonteCarlo: void main()",2,510,457,4,527,16,16
"MonteCarlo: void <init>()",-1,590,416,9,731,10,10
"MonteCarlo: void run()",4,326,311,2,331,20,20
"MonteCarlo: double num_flops(int)",1,414,362,17,424,10,9
"MonteCarlo: double integrate(int)",10,13018,11981,988,13103,830,994
"SparseCompRow: void <init>(int)",-1,511,341,8,652,14,14
"SparseCompRow: double num_flops(int,int,int)",2,464,407,24,477,18,15
"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)",-1,-1,-1,-1,-1,913,1277
"SparseCompRow: void main(int)",2,454,426,3,476,18,18
"kernel: void <init>()",-1,588,419,8,744,10,10
"kernel: double[] NewVectorCopy(double[])",5,-1,-1,-1,-1,1362,987
"LU: void main(int)",2,424,398,3,442,18,18
"LU: void <init>(int)",-1,504,342,8,639,14,14
"LU: double num_flops(int)",2,444,390,22,450,16,13
"LU: double[] new_copy(double[])",10,-1,-1,-1,-1,1362,987
"FFT: void inverse(double[])",6,-1,-1,-1,-1,1319,945
"FFT: double num_flops(int)",3,780,637,75,800,53,31
"FFT: void <init>(int)",-1,916,753,8,1084,14,14
"FFT: long inst_main(java.lang.String[])",2,288,255,1,293,10,10
"FFT: void transform(double[])",-1,394,375,1,399,12,12
"Stopwatch: double seconds()",1,641,458,20,808,14,13
"Stopwatch: double read()",5,589,567,7,605,40,38
"Stopwatch: void reset()",3,446,404,4,475,17,17
"Stopwatch: void resume()",4,470,448,4,482,24,24
"Stopwatch: double stop()",5,579,541,15,593,37,35
"Stopwatch: void start()",5,493,469,4,539,28,28
"Stopwatch: void <init>()",-1,343,285,2,354,13,13
"SOR: void <init>(int)",-1,624,446,9,770,14,14
"SOR: double execute(double,double[][],int)",21,-1,-1,-1,-1,1459,2160
"SOR: void main(int)",2,435,400,3,452,18,18
"SOR: double num_flops(int,int,int)",4,10359,9957,372,10378,315,87
"Random: void <init>(double,double)",-1,721,669,10,741,62,62
"Random: void nextDoubles(double[])",89,-1,-1,-1,-1,807,980
"Random: double nextDouble()",18,1044,975,42,1129,104,97
"Random: void <init>(int,double,double)",-1,667,642,8,684,57,57
"Random: void <init>(int)",-1,477,446,7,485,45,45
"Random: void <init>()",-1,911,738,14,1061,50,50
"MonteCarlo: double measureMonteCarlo(double,Random)",9,615,589,5,642,45,44
