name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"FFT: void <init>(int)",-1,506,339,8,637,14,14
"FFT: long inst_main(java.lang.String[])",2,294,259,1,298,10,10
"FFT: void main(int)",2,435,412,1,441,18,18
"FFT: double test(double[])",11,42807,41538,1239,42849,1671,1232
"FFT: double num_flops(int)",3,790,633,80,811,53,31
"FFT: void inverse(double[])",6,24680,23879,784,24720,1322,945
"FFT: void transform_internal(double[],int)",-1,-1,-1,-1,-1,1895,1553
"FFT: void transform(double[])",-1,389,369,1,393,12,12
"FFT: double[] makeRandom(int)",5,18957,18551,389,18976,1067,732
"Stopwatch: double stop()",5,564,537,10,579,37,35
"Stopwatch: void resume()",4,360,336,4,369,24,24
"Stopwatch: void reset()",3,434,399,2,445,17,17
"Stopwatch: double seconds()",1,610,436,18,745,14,13
"Stopwatch: void <init>()",-1,303,273,2,309,13,13
"Stopwatch: double read()",5,576,553,7,590,40,38
"Stopwatch: void start()",5,387,365,5,424,28,28
"SOR: double num_flops(int,int,int)",4,9608,9223,355,9625,315,87
"SOR: void <init>(int)",-1,588,432,8,719,14,14
"SOR: double execute(double,double[][],int)",21,-1,-1,-1,-1,1451,2151
"SOR: void main(int)",2,338,301,3,355,18,18
"Random: void nextDoubles(double[])",89,14271,13460,781,14987,795,986
"Random: void <init>(int,double,double)",-1,651,627,8,666,57,57
"Random: void <init>(double,double)",-1,726,675,12,747,62,62
"Random: void <init>(int)",-1,481,447,7,489,45,45
"Random: void <init>()",-1,724,531,15,856,50,50
"Random: double nextDouble()",18,1038,973,39,1116,104,97
"MonteCarlo: void run()",4,359,329,4,366,20,20
"MonteCarlo: double integrate(int)",10,12786,11738,995,12861,711,1044
"MonteCarlo: void main()",2,420,394,3,436,16,16
"MonteCarlo: double num_flops(int)",1,409,358,18,417,10,9
"MonteCarlo: double measureMonteCarlo(double,Random)",9,587,560,7,600,45,44
"MonteCarlo: void <init>()",-1,469,308,7,598,10,10
"SparseCompRow: void <init>(int)",-1,485,331,8,659,14,14
"SparseCompRow: double num_flops(int,int,int)",2,448,400,19,457,18,15
"SparseCompRow: void main(int)",2,343,308,3,359,18,18
"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)",-1,24949,24199,720,25155,916,1278
"SparseCompRow: double measureSparseMatmult(int,int,double,Random)",-1,-1,-1,-1,-1,1670,1758
"kernel: double[][] RandomizeMatrix(double[][],Random)",4,10633,10318,298,10670,681,1162
"kernel: double normabs(double[],double[])",5,11026,10088,912,11065,725,885
"kernel: void CopyVector(double[],double[])",3,24015,23609,366,24037,1364,988
"kernel: void <init>()",-1,595,428,7,720,10,10
"kernel: void CopyMatrix(double[][],double[][])",15,44408,44039,352,44482,847,1874
"kernel: double[][] RandomMatrix(int,int,Random)",5,-1,-1,-1,-1,818,1147
"kernel: double[] NewVectorCopy(double[])",5,22658,21738,858,22704,1362,987
"LU: double[][] getLU()",1,437,420,2,454,14,14
"LU: void main(int)",2,446,407,2,462,18,18
"LU: double[] new_copy(double[])",5,24597,23772,802,24655,1364,988
"LU: double num_flops(int)",2,445,396,21,452,16,13
"LU: void insert_copy(double[][],double[][])",15,22783,20747,2018,22851,841,1882
"LU: int[] getPivot()",1,319,297,2,323,14,14
"LU: int[] new_copy(int[])",5,22136,21705,408,22158,1355,983
"LU: void <init>(int)",-1,519,338,9,655,14,14
"LU: int factor(double[][],int[])",37,-1,-1,-1,-1,834,2081
"LU: double[][] new_copy(double[][])",5,21094,19694,1367,21128,1126,1410
"LU: double[] solve(double[])",3,448,434,2,453,23,23
