name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"CompBase: void <init>(InputBuffer,OutputBuffer)",-1,252,168,10,317,33,33
"CompBase: int getMaxCode()",1,165,132,4,172,12,12
"Decompressor: int getCode()",52,-1,-1,-1,-1,633,831
"Decompressor: void <init>(InputBuffer,OutputBuffer)",-1,1183,626,462,1463,1157,964
"Decompressor: void decompress()",208,-1,-1,-1,-1,1180,1092
"InputBuffer: int readByte()",1,197,150,18,227,37,34
"InputBuffer: int readBytes(byte[],int)",8,950,432,493,1016,671,628
"InputBuffer: void <init>(int,byte[])",-1,238,158,6,323,18,18
"Compressor: void <init>(InputBuffer,OutputBuffer)",-1,392,235,74,568,185,179
"Compressor: void compress()",312,-1,-1,-1,-1,1696,1642
"OutputBuffer: int getLength()",1,159,130,2,164,9,9
"OutputBuffer: void writeByte(byte)",1,183,142,11,194,22,21
"OutputBuffer: void <init>(byte[])",-1,234,156,6,318,14,14
"OutputBuffer: long getCRC()",3,178,149,7,197,30,30
"OutputBuffer: void writebytes(byte[],int)",3,1084,525,524,1127,876,712
"CodeTable: void set(int,int)",1,160,135,4,173,16,16
"CodeTable: void clear(int)",3,1245,647,552,1281,1163,854
"CodeTable: void <init>()",-1,235,160,6,320,18,18
"CodeTable: int of(int)",1,168,135,6,177,16,16
"Harness: void runCompress(int)",1075,-1,-1,-1,-1,5169,5084
"Harness: void <init>()",-1,229,154,5,312,10,10
"Harness: void prepareBuffers()",7,507,267,223,541,290,779
"Harness: void <clinit>()",-1,217,185,3,226,62,61
"Harness: long inst_main(int)",1077,-1,-1,-1,-1,5176,5090
