name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"LU: double[] solve(double[])",26,602,385,191,855,718,1599
"LU: void solve(double[][],int[],double[])",26,640,444,183,693,958,1526
"LU: double[][] new_copy(double[][])",5,918,542,348,964,1144,1390
"LU: int[] getPivot()",5,703,515,163,722,1170,869
"LU: int factor(double[][],int[])",37,-1,-1,-1,-1,816,1944
"LU: void insert_copy(double[][],double[][])",15,708,442,242,789,854,1885
"LU: void <init>(int)",-1,238,158,5,323,14,14
"LU: double num_flops(int)",2,178,141,12,182,16,13
"LU: double[][] getLU()",10,773,491,268,812,1107,1360
"LU: int[] new_copy(int[])",5,786,558,204,805,1355,983
"LU: double[] new_copy(double[])",5,1243,707,505,1270,1362,987
"Random: void <init>(double,double)",-1,671,399,252,754,810,685
"Random: void <init>()",-1,1092,502,508,1249,791,673
"Random: double nextDouble()",18,184,166,4,314,104,97
"Random: void <init>(int)",-1,609,385,207,673,791,672
"Random: void <init>(int,double,double)",-1,623,416,191,692,810,675
"Random: void nextDoubles(double[])",89,-1,-1,-1,-1,772,983
"Random: void initialize(int)",18,589,397,179,620,791,682
"SparseCompRow: void <init>(int)",-1,238,158,6,298,14,14
"SparseCompRow: double num_flops(int,int,int)",2,182,142,13,188,18,15
"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)",-1,1107,526,520,1302,920,1294
"SOR: double num_flops(int,int,int)",4,571,248,288,581,315,87
"SOR: double execute(double,double[][],int)",21,1191,655,510,1377,1470,2163
"SOR: void <init>(int)",-1,233,157,5,318,14,14
"SOR: void <clinit>()",-1,162,146,1,166,16,16
"MonteCarlo: double num_flops(int)",1,166,131,8,170,10,9
"MonteCarlo: void <init>()",-1,224,146,4,279,10,10
"FFT: void bitreverse(double[])",22,1292,626,634,1371,1523,1545
"FFT: double[] makeRandom(int)",5,1455,626,792,1488,1095,757
"FFT: void <init>(int)",-1,231,156,5,315,14,14
"FFT: void <clinit>()",-1,185,165,1,189,16,16
"kernel: void CopyVector(double[],double[])",3,898,621,256,911,1354,981
"kernel: void <clinit>()",-1,200,169,4,211,57,57
"kernel: void checkResults(java.lang.String,java.lang.String,int)",8,189,174,2,219,61,61
"kernel: void CopyMatrix(double[][],double[][])",15,933,442,476,1030,853,1877
"kernel: void matvec(double[][],double[],double[])",12,647,413,213,689,821,1410
"kernel: double[] NewVectorCopy(double[])",5,1301,730,538,1323,1361,989
"kernel: void <init>()",-1,238,164,4,294,10,10
"kernel: void init()",44,214,189,5,290,139,139
"kernel: double[] matvec(double[][],double[])",12,701,415,266,748,823,1382
"kernel: double normabs(double[],double[])",5,713,365,332,735,741,900
"Stopwatch: double seconds()",1,241,156,11,322,14,13
"Stopwatch: double stop()",5,187,151,11,222,42,39
"Stopwatch: double read()",5,181,148,12,217,48,44
"Stopwatch: void <init>()",-1,180,140,4,194,21,21
"Stopwatch: void start()",5,188,149,8,237,33,32
"Stopwatch: void resume()",4,172,142,7,196,29,28
"Stopwatch: void reset()",3,169,136,4,180,17,17
