name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"CompBase: void <init>(InputBuffer,OutputBuffer)",-1,258,169,10,349,33,33
"CompBase: int getMaxCode()",1,164,132,4,172,12,12
"Decompressor: int getCode()",41,-1,-1,-1,-1,262,216
"Decompressor: void <init>(InputBuffer,OutputBuffer)",-1,415,246,82,610,223,214
"Decompressor: void decompress()",34,-1,-1,-1,-1,575,947
"InputBuffer: int readByte()",1,198,152,17,227,37,34
"InputBuffer: int readBytes(byte[],int)",8,941,426,491,1016,671,628
"InputBuffer: void <init>(int,byte[])",-1,236,158,7,323,18,18
"Compressor: void <init>(InputBuffer,OutputBuffer)",-1,353,218,53,517,148,145
"Compressor: void clBlock()",21,186,167,3,210,79,76
"Compressor: void output(int)",54,-1,-1,-1,-1,962,784
"Compressor: void compress()",51,1080,536,486,1381,1045,1115
"OutputBuffer: int getLength()",1,159,130,2,164,9,9
"OutputBuffer: void writeByte(byte)",1,183,141,11,197,22,21
"OutputBuffer: void <init>(byte[])",-1,233,152,6,318,14,14
"OutputBuffer: long getCRC()",3,177,148,7,198,30,30
"OutputBuffer: void writebytes(byte[],int)",3,1074,524,513,1119,879,719
"CodeTable: void set(int,int)",1,174,135,4,186,16,16
"CodeTable: void clear(int)",3,1224,656,537,1246,1163,854
"CodeTable: void <init>()",-1,237,159,6,321,18,18
"CodeTable: int of(int)",1,169,136,6,183,16,16
"Harness: void runCompress(int)",18,929,413,463,1090,582,940
"Harness: void <init>()",-1,229,152,5,309,10,10
"Harness: void prepareBuffers()",7,497,243,236,537,289,777
"Harness: void <clinit>()",-1,177,150,3,190,62,61
"Harness: long inst_main(int)",3,156,137,1,161,19,19
