name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"DeadLoopDeletion: void <init>()",-1,224,151,5,307,10,10
"DeadLoopDeletion: int original()",6,156,126,1,162,5,5
"LoopInvariantCodeMotion: void <init>()",-1,230,154,4,314,10,10
"LoopInvariantCodeMotion: void original(int,int)",7,1209,520,656,1268,1281,654
"LoopInvariantCodeMotion: void expected(int,int)",7,789,431,342,818,1279,651
"ConstantFold: void <init>()",-1,243,166,4,325,10,10
"ConstantFold: int original()",3,164,126,10,169,9,9
"LoopStrengthReduction: void expected()",7,1149,568,558,1173,1764,489
"LoopStrengthReduction: void original()",7,2180,890,1258,2218,3091,1236
"LoopStrengthReduction: void <init>()",-1,228,152,4,310,10,10
"SimpleLoopUnswitch: void <init>()",-1,228,152,4,310,10,10
"SimpleLoopUnswitch: int original(int)",9,1073,500,540,1152,1094,730
"IfTrue: int expected(int)",1,157,125,2,164,5,5
"IfTrue: int original(int)",5,152,124,1,156,5,5
"IfTrue: void <init>()",-1,226,152,4,309,10,10
