name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
"LU: int factor(double[][],int[])",37,-1,-1,-1,-1,818,2113
"LU: double[][] getLU()",10,649,379,256,689,1103,1336
"LU: int[] new_copy(int[])",10,647,413,212,665,1356,984
"LU: double[] new_copy(double[])",10,1085,560,502,1111,1346,971
"LU: void <init>(int)",-1,233,154,6,318,14,14
"LU: void solve(double[][],int[],double[])",20,622,431,179,655,778,1636
"LU: int[] getPivot()",5,587,395,167,605,1171,870
"LU: double[] solve(double[])",20,540,310,204,797,711,1643
"LU: double num_flops(int)",2,175,138,12,180,16,13
"LU: double[][] new_copy(double[][])",10,822,425,365,870,1139,1404
"LU: void insert_copy(double[][],double[][])",15,649,375,248,726,888,1868
"Random: void <init>(int)",-1,555,327,211,616,790,672
"Random: double nextDouble()",18,192,173,4,253,104,97
"Random: void nextDoubles(double[])",89,-1,-1,-1,-1,805,987
"Random: void <init>(int,double,double)",-1,544,334,193,612,803,682
"Random: void <init>()",-1,1048,454,513,1195,794,676
"Random: void initialize(int)",18,508,319,175,538,763,654
"Random: void <init>(double,double)",-1,611,333,257,701,807,685
"SparseCompRow: double num_flops(int,int,int)",2,179,139,12,184,18,15
"SparseCompRow: void <init>(int)",-1,230,154,5,314,14,14
"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)",-1,1020,440,518,1213,918,1288
"SOR: double execute(double,double[][],int)",21,1061,524,511,1246,1436,2056
"SOR: void <init>(int)",-1,231,156,5,316,14,14
"SOR: double num_flops(int,int,int)",4,561,238,288,571,315,87
"SOR: void <clinit>()",-1,162,146,1,164,16,16
"MonteCarlo: void <init>()",-1,230,151,5,315,10,10
"MonteCarlo: double num_flops(int)",1,168,133,8,173,10,9
"FFT: void <init>(int)",-1,232,157,5,318,14,14
"FFT: void <clinit>()",-1,187,168,1,191,16,16
"FFT: double[] makeRandom(int)",5,1338,507,794,1366,1095,757
"FFT: void bitreverse(double[])",22,1267,490,750,1344,1521,1545
"kernel: double[] NewVectorCopy(double[])",5,1148,580,535,1185,1354,982
"kernel: double[] matvec(double[][],double[])",12,628,330,278,673,817,1427
"kernel: void CopyVector(double[],double[])",3,769,485,257,792,1363,987
"kernel: void init()",44,209,182,6,283,139,139
"kernel: void matvec(double[][],double[],double[])",12,601,355,226,643,837,1424
"kernel: void checkResults(java.lang.String,java.lang.String,int)",8,183,169,2,214,61,61
"kernel: void <clinit>()",-1,199,169,3,210,57,57
"kernel: void <init>()",-1,238,161,4,321,10,10
"kernel: double normabs(double[],double[])",5,653,302,331,701,730,877
"kernel: void CopyMatrix(double[][],double[][])",15,856,342,498,951,844,1884
"Stopwatch: double seconds()",1,239,154,11,319,14,13
"Stopwatch: void start()",5,187,146,9,236,33,32
"Stopwatch: double stop()",5,187,151,10,222,42,39
"Stopwatch: void <init>()",-1,164,138,4,177,21,21
"Stopwatch: void reset()",3,166,135,3,174,17,17
"Stopwatch: void resume()",4,171,141,7,196,29,28
"Stopwatch: double read()",5,180,147,12,216,48,44
